Pregunta;Opcion A;Opcion B;Opcion C;Respuesta Correcta;Bloque;Tema;Feedback
¿Cuál de las siguientes acciones constituye un ejemplo de pharming, uno de los tipos de ciberdelito más frecuentes?;Un usuario recibe un correo que aparenta ser de su banco y, al hacer clic, introduce sus datos en una web falsa;Un ciberdelincuente manipula el archivo de resolución de nombres o el servidor DNS para redirigir al usuario a una web falsa, incluso si escribe correctamente la dirección legítima;Se accede sin permiso al correo electrónico de otra persona mediante un fallo en la contraseña;b;3;41;"El pharming es una forma avanzada de fraude online, donde el atacante manipula la resolución DNS o el archivo de hosts del dispositivo de la víctima, de forma que, aunque el usuario escriba correctamente la dirección de un sitio web legítimo (como su banco), es redirigido automáticamente a una página falsa sin sospecharlo.

Se diferencia del phishing, que utiliza engaños directos, como correos electrónicos o mensajes falsos, para inducir al usuario a acceder a sitios fraudulentos y entregar información personal voluntariamente. Ambos son delitos informáticos tipificados como estafa o acceso ilícito a datos personales en el Código Penal español (arts. 248, 197 y ss.) y se enmarcan también en las categorías del Convenio de Budapest."
Las Guías de pertenencia de los lanzacabos son expedidas por:;La Comandancia de la Guardia Civil;El Delegado del Gobierno;Comandancia de Marina;a;3;42;Las guías de pertenencia de las armas de fuego para lanzar cabos las expedirán las Comandancias de la Guardia Civil, previo informe de las Comandancias de Marina.  Las licencias de armas de fuego para lanzar cabos serán expedidas por los Gobernadores civiles, previo informe de los Comandantes de Marina
Como bien sabe la licencia F tiene tres clases, indique la opción correcta en relación a esta licencia:;La tercera clase autorizará a tener un arma corta y un arma larga de concurso;La primera clase autoriza hasta diez armas cortas de concurso, excluyendo las largas;La segunda clase autoriza hasta seis armas de concurso;c;3;42;La licencia F será de tres clases, en correspondencia con las categorías del tirador. La de tercera clase autorizará la tenencia y el uso de un arma corta o un arma larga de concurso, quedando excluidas las pistolas libres. La de segunda clase podrá autorizar la tenencia y el uso de hasta seis armas de concurso. Y la de primera clase podrá autorizar la tenencia y uso de hasta diez armas de concurso
Las armas de sistema «Flobert» se encuentran dentro de la categoría:;7.4;7.5;7.6;a;3;42;"7.ª categoría:

1. Armas de inyección anestésica capaces de lanzar proyectiles que faciliten la captura o control de animales, anestesiándolos a distancia durante algún tiempo.

2. Las ballestas.

3. Las armas para lanzar cabos.

4. Las armas de sistema «Flobert».

5. Los arcos, las armas para lanzar líneas de pesca y los fusiles de pesca submarina que sirvan para disparar flechas o arpones, eficaces para la pesca y para otros fines deportivos.

6. Armas de alarma y señales y pistolas lanzabengalas.

8.ª categoría:

Armas acústicas y de salvas."
Indique la opción correcta en relación al uso de la V-1:;   Excepcionalmente, los conductores de los vehículos policiales deberán utilizar la señal luminosa aisladamente cuando la omisión de las señales acústicas especiales no entrañe peligro alguno para los demás usuarios;   Excepcionalmente, los conductores de los vehículos prioritarios deberán utilizar la señal luminosa aisladamente cuando la omisión de las señales acústicas especiales no entrañe peligro alguno para los demás usuarios;   Excepcionalmente, los conductores de los vehículos prioritarios podrán utilizar la señal luminosa aisladamente cuando la omisión de las señales acústicas especiales no entrañe peligro alguno para los demás usuarios;b;3;43;"Artículo 67.2 del Reglamento General de Circulación, que establece que excepcionalmente los conductores de vehículos prioritarios podrán utilizar únicamente la señal luminosa especial cuando la omisión de las señales acústicas no entrañe peligro alguno para los demás usuarios.
Esto permite minimizar el ruido en zonas sensibles como hospitales o por la noche, siempre que se mantenga la seguridad."
¿Cuál de los siguientes elementos forma parte de los sistemas de seguridad pasiva de un vehículo?;Control electrónico de estabilidad (ESC);Sistema antibloqueo de frenos (ABS);Airbags frontales y laterales;c;3;44;"Los airbags son un componente esencial de la seguridad pasiva, ya que se activan en caso de colisión para reducir el impacto sobre los ocupantes y minimizar lesiones.

El ABS (Antilock Braking System) y el ESC (Electronic Stability Control) son sistemas de seguridad activa, ya que actúan antes del accidente, ayudando al conductor a mantener el control del vehículo en situaciones críticas y evitando bloqueos de ruedas o derrapes."
Los vehículos de más de 9 plazas dedicados al traslado de detenidos deberán de portar:;Un extintor en polvo de 12 kg;Dos extintores de polvo de 12 Kg;Ninguna es correcta;b;3;44;Extintores: - Vehículo de hasta 9 plazas: 1 extintor de polvo de 6 kg. - Vehículo más de 9 plazas: 2 extintores en polvo de 12 kg.
Los chalecos reflectantes de dotación policial utilizados para realizar DEC deberán de ser visibles a:;100 metros;150 metros;50 metros;b;3;45;Los chalecos reflectantes deberán ser visibles a 150 metros.
Obligatoriedad V-16;1 de junio de 2026;1 de enero de 2026;Voluntaria;b;3;45;La luz V16, un dispositivo luminoso de emergencia, será obligatoria para todos los vehículos en España a partir del 1 de enero de 2026, reemplazando a los triángulos de emergencia, según la DGT. Hasta entonces, se pueden seguir utilizando los triángulos o las luces V16 sin conectividad. La versión obligatoria a partir de 2026 será la luz V16 conectada y homologada, que además de alertar a otros conductores, informará a las autoridades sobre la ubicación del vehículo.
Ley Orgánica 9/2015, de 28 de julio, de Régimen de Personal de la Policía Nacional.  El Consejo de Ministros, a propuesta del Ministro del Interior, fijará la plantilla reglamentaria para las distintas categorías, con vigencia para períodos de:;2 años;3 años;5 años;c;3;8;El Consejo de Ministros, a propuesta del Ministro del Interior, fijará, con vigencia para períodos de cinco años, la plantilla reglamentaria para las distintas categorías
El pase a segunda actividad por petición propia en la escala de Subinspección se podrá realizar a partir de los:;60 años;62 años;64 años;a;3;8;"Pasarán a la situación de segunda actividad los Policías Nacionales que, por petición propia hubieran solicitado ingresar en dicha situación, a partir del cumplimiento de las edades que para cada escala se establecen a continuación:

a) Escala Superior: 64 años.

b) Escala Ejecutiva: 62 años.

c) Escala Subinspección: 60 años.

d) Escala Básica: 58 años."
